"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2024-04-23"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2024-04-23"
"config.yaml" "17f73dbc1a532ada538e32c2f7671408" "site/built/config.yaml" "2024-04-23"
"index.md" "7c2ed5308ca620a0f1cb30690c0dbdc1" "site/built/index.md" "2024-04-23"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2024-04-23"
"episodes/introduction.Rmd" "1612edf09d0d9f313235a3898857f5ef" "site/built/introduction.md" "2024-04-23"
"episodes/definition-and-considerations.Rmd" "b91142bcad612b4aa196a030d5cc2f1d" "site/built/definition-and-considerations.md" "2024-04-23"
"episodes/fair-and-care-principles.Rmd" "d6dfe226cf84795a68b8b8990fc58c58" "site/built/fair-and-care-principles.md" "2024-04-23"
"episodes/discourse-on-data-ethics.Rmd" "9928c65e6dae88782485c682fa92b537" "site/built/discourse-on-data-ethics.md" "2024-04-23"
"episodes/resources-and-further-reading.Rmd" "5285a9eda267e047cf20ceffe2738ca3" "site/built/resources-and-further-reading.md" "2024-04-23"
"instructors/instructor-notes.md" "753a818d77ba4dfce1249b07de672da7" "site/built/instructor-notes.md" "2024-04-23"
"learners/reference.md" "527a12e217602daae51c5fd9ef8958df" "site/built/reference.md" "2024-04-23"
"learners/setup.md" "37271e7357b558a02c66cbfd6ff6f01e" "site/built/setup.md" "2024-04-23"
"profiles/learner-profiles.md" "5fe5bf7537072422b91ed393ada03f9a" "site/built/learner-profiles.md" "2024-04-23"
"renv/profiles/lesson-requirements/renv.lock" "59639ce6d6768464ce8649a38e4f93e0" "site/built/renv.lock" "2024-04-23"
